Bezahlen mit;Typ;Restaurant;Adresse;PLZ;Ort;Kanton;Telefon;Website
;;Ach'i;Brauerstrasse 4;8004;Zürich;ZH;044 542 88 85;www.achi.restaurant.ch
;;Acht 3 null 3;Klotenerstrasse 17;8303;Bassersdorf;ZH;+41448101010;www.steakhouse8303.ch
;;ACP Beau Site Grill Sàrl;Avenue Louis-Casaï 54;1216;Cointrin;GE;022 788 26 81;
;;Acqua;Binningerstrasse 14;4051;Basel;BS;+41615646666;www.acquabasilea.ch
;;Ada-Lokma;Vorstadtstrasse 23;5722;Gränichen;ZH;;www.ada-lokma.ch
;;Adesso;Hardstrasse 14;4052;Basel;BS;079 762 55 23;www.adessobasel.ch
;;Adler;Dorfstrasse 42;8834;Schindellegi;SZ;+41554402922;www.adler-gastro4you.ch
;;Adler;Landstrasse 289;9495;Triesen;;+4233926600;
;;Adler;Binzikerstrasse 80;8627;Grüningen;ZH;044 935 11 54;www.adler-grueningen.ch
;;Adler;Badenerstrasse 8;5413;Birmenstorf AG;AG;+41562251015;www.adler-birmenstorf.ch
;;Adler;Vorstadt 69;8200;Schaffhausen;SH;+41526255515;www.gasthaus-adler.ch
;;Adler;Seestrasse 7;6052;Hergiswil NW;NW;+41416301145;www.glasi-restaurant-adler.ch
;;Adler;Hauptstrasse 33;8783;Linthal;GL;+41556431515;www.adler-linthal.ch
;;Adler;Herrengasse 2;9490;Vaduz;;+4232322131;www.adler.li
;;Adler;Landstrasse 39;5073;Gipf-Oberfrick;AG;+41628711251;www.gasthofadler-oberfrick.ch
;;Adler;Marktplatz 158;5080;Laufenburg;AG;+41625340453;www.taverne-adler.ch
;;Adlergarten;Gärtnerstrasse 1;8403;Winterthur;ZH;052 267 42 14;www.stadt.winterthur.ch/themen/leben-in-winterthur/alter-gesundheit-und-soziales/wohnen-im-alter/alterszentren/alterszentrum_adlergarten/restaurant-adlergarten
;;Adlisberg;Adlisbergstrasse 75;8044;Zürich;ZH;+41442669191;www.adlisberg.ch
;;Admiral;Via Angelo Maspoli 18;6850;Mendrisio;TI;091 640 50 81;www.casinomendrisio.ch
;;Ador (ZFV);Laupenstrasse 15;3008;Bern;BE;031 388 01 11;www.hotelador.ch
;;Adria;Freiestrasse 10;8610;Uster;ZH;044 940 16 11;www.adria-restaurant.ch
;;Aemtlerstübli;Zürichstrasse 54;8910;Affoltern a.A.;ZH;044 761 08 15;www.aemtlerstuebli.ch
;;Aéroport Blécherette;Avenue du Grey 117;1018;Lausanne;VD;021 648 61 00;www.restaurant-aeroport-blecherette.ch
;;Aeschenplatz;Aeschenplatz 4;4052;Basel;BS;061 271 38 55;www.aeschenplatz.ch
;;Aeschi;Thunstrasse 26;3110;Münsingen;BE;+41317210262;www.aeschi-muensingen.ch
;;Aess Bahn Snack;Bahnhofplatz;8620;Wetzikon ZH;ZH;+41434777577;
;;African Queen;Stampfenbachstrasse 70;8006;Zürich;ZH;043 255 01 03;www.african-queen.ch
;;Africana;Rosengässchen 7;8200;Schaffhausen;SH;052 625 65 91;www.africana-restaurant.ch
;;Afrolicious;Clarastrasse 13;4058;Basel;BS;;www.afrolicious-basel.ch
;;Agua;Piazza della riforma;6900;Lugano;TI;091 923 80 80;www.agualugano.ch
;;Ah-Hua;Ankerstrasse 110;8004;Zürich;ZH;+41442403888;www.ah-hua.ch
;;Aimé Pouly Académie;Rue du Pré-Bouvier 31;1242;Satigny;GE;022 783 23 58;www.pouly.ch
;;Aimé Pouly Ale;Rue de l'Ale 42;1003;Lausanne;VD;021 311 46 29;www.pouly.ch
;;Aimé Pouly Bellevaux;Route Aloys-Fauquez 101;1018;Lausanne;VD;021 647 41 56;www.pouly.ch
;;Aimé Pouly Bulle;Place de la Gare 3;1630;Bulle;FR;026 913 93 23;wwww.pouly.ch
;;Aimé Pouly Carl-Vogt;Boulevard Carl-Vogt 92;1205;Genève;GE;022 329 63 12;www.pouly.ch
;;Aimé Pouly Cérésole;Avenue Paul-Cérésole 22;1800;Vevey;VD;021 921 15 16;www.pouly.ch
;;Aimé Pouly CFF Gare;Place de la Gare 9;1003;Lausanne;VD;021 320 48 68;www.pouly.ch
;;Aimé Pouly Chailly;Avenue de Chailly 4;1012;Lausanne;VD;021 652 31 03;www.pouly.ch
;;Aimé Pouly Champel;Avenue de Champel 57,;1206;Genève;GE;022 346 43 43;www.pouly.ch
;;Aimé Pouly Champs-Fréchets;Prom. Champs-Fréchets 16;1217;Meyrin;GE;;www.pouly.ch
;;Aimé Pouly Chantilly;Rue Centrale 5;1003;Lausanne;VD;021 312 52 94;www.pouly.ch
;;Aimé Pouly Clémenty;Route de Clémenty 62;1260;Nyon;VD;022 362 19 35;www.pouly.ch
;;Aimé Pouly Confédération;Rue de la Confédération 6;1204;Genève;GE;022 311 03 35;www.pouly.ch
;;Aimé Pouly Confédération Centre;Rue de la Confédération 8, Centre commercial;1204;Genève;GE;022 311 42 39;www.pouly.ch
;;Aimé Pouly Conthey;Centre Mediamarkt, Route Cantonale 11;1964;Conthey;VS;027 346 93 30;www.pouly.ch
;;Aimé Pouly Cormanon;Rte du Centre 4;1752;Villars-sur-Glâne;FR;;www.pouly.ch
;;Aimé Pouly Crissier;Place Freddy Girardet 2;1023;Crissier;VD;021 636 12 04;www.pouly.ch
;;Aimé Pouly Eaux-Vives;Rue des Eaux-Vives 72;1207;Genève;GE;022 736 70 78;www.pouly.ch
;;Aimé Pouly Ecole de Médecine;Rue de l'Ecole-de-Médecine 11bis;1205;Genève;GE;022 781 50 05;www.pouly.ch
;;Aimé Pouly Etraz;Rue Etraz 16,;1003;Lausanne;VD;021 312 77 53;www.pouly.ch
;;Aimé Pouly FFT;Rue du Mont-Blanc 30;1201;Genève;GE;;www.pouly.ch
;;Aimé Pouly Florissant;Route de Florissant 57;1206;Genève;GE;022 789 08 00;www.pouly.ch
;;Aimé Pouly Fontainemelon;Avenue Robert 12;2052;Fontainemelon;NE;032 852 03 46;www.pouly.ch
;;Aimé Pouly Four de Bourg;Rue Etienne Dumont 1;1204;Genève;GE;022 310 45 14;www.pouly.ch
;;Aimé Pouly Fribourg Centre;Avenue de la Gare 12;1700;Fribourg;FR;026 322 05 00;www.pouly.ch
;;Aimé Pouly Gare de Genève Boulangerie;Rue du Mont-Blanc 30;1201;Genève;GE;022 732 28 88;www.pouly.ch
;;Aimé Pouly Gare de Genève Tea-Room;Rue du Mont-Blanc 30;1201;Genève;GE;022 732 28 88;www.pouly.ch
;;Aimé Pouly Gare de Monthey;Avenue de la Gare 68;1870;Monthey;VS;024 471 83 37;www.pouly.ch
;;Aimé Pouly Gare de Neuchâtel;Place de la Gare 1;2000;Neuchâtel;NE;032 725 23 23;www.pouly.ch
;;Aimé Pouly Gare de Nyon;Place de la Gare 4;1260;Nyon;VD;022 361 94 50;www.pouly.ch
;;Aimé Pouly Gare de Sierre;Place de la Gare 10;3960;Sierre;VS;027 456 28 18;www.pouly.ch
;;Aimé Pouly Gare des Eaux-Vives;Av. de la Gare des Eaux-Vives 4;1207;Genève;GE;022 736 19 09;www.pouly.ch
;;Aimé Pouly Gare d'Yverdon;Avenue de la Gare 8;1400;Yverdon-les-Bains;VD;024 426 35 34;www.pouly.ch
;;Aimé Pouly Georges-Favon;Boulevard Georges-Favon 18;1204;Genève;GE;022 329 94 90;www.pouly.ch
;;Aimé Pouly Globus;Rue du Rhône 50;1211;Genève 3;GE;022 310 40 29;www.pouly.ch
;;Aimé Pouly Grotte;Rue de la Grotte 1S;1003;Lausanne;VD;021 312 68 37;www.pouly.ch
;;Aimé Pouly Haldimand;Rue Haldimand 9;1003;Lausanne;VD;021 312 81 92;www.pouly.ch
;;Aimé Pouly Helvétique;Cours de Rive 18;1207;Genève;GE;022 735 31 61;www.pouly.ch
;;Aimé Pouly La Combe;Centre Commercial La Combe;1260;Nyon;VD;022 361 24 20;www.pouly.ch
;;Aimé Pouly La Plaine;Rue de la Plaine 3;1400;Yverdon-les-Bains;VD;024 425 24 88;www.pouly.ch
;;Aimé Pouly Lac;Quai du Mont-Blanc 3;1201;Genève;GE;;www.pouly.ch
;;Aimé Pouly Le Mont;Route de Lausanne 33;1052;Le Mont-sur-Lausanne;VD;021 653 14 04;www.pouly.ch
;;Aimé Pouly Les Arcades;Faubourg de l'Hôpital 1;2000;Neuchâtel;NE;032 721 11 20;www.pouly.ch
;;Aimé Pouly Mail;Avenue du Mail 4;1205;Genève;GE;022.328.01.69;www.pouly.ch
;;Aimé Pouly Malley;Avenue du Chablais 35;1008;Prilly;VD;021 624 82 50;www.pouly.ch
;;Aimé Pouly Marly Centre;Route des Pralettes 1, Centre Commercial Galerie;1723;Marly;FR;026 436 49 12;www.pouly.ch
;;Aimé Pouly Marly Jonction;Route de Fribourg 15, Centre commercial Jonction;1723;Marly;FR;026 436 30 13;ww.pouly.ch
;;Aimé Pouly Marterey;Rue Marterey 76;1005;Lausanne;VD;021 311 76 56;www.pouly.ch
;;Aimé Pouly Martigny;Avenue de la Gare 64;1920;Martigny;VS;;www.pouly.ch
;;Aimé Pouly Mont-Blanc;Rue du Mont-Blanc 11;1201;Genève;GE;022 732 32 55;www.pouly.ch
;;Aimé Pouly Pérolles;Boulevard de Pérolles 21A;1700;Fribourg;FR;026 322 15 11;www.pouly.ch
;;Aimé Pouly Petit-Chêne;Rue du Petit-Chêne 1;1003;Lausanne;VD;021 312 31 53;www.pouly.ch
;;Aimé Pouly Rumine;Avenue Eglantine 2;1006;Lausanne;VD;021 312 31 17;www.pouly.ch
;;Aimé Pouly Sauges;Avenue du Grey 58;1018;Lausanne;VD;021 647 16 05;www.pouly.ch
;;Aimé Pouly Sushi;Rue du Mont-Blanc 30;1201;Genève;GE;022 732 28 88;www.pouly.ch
;;Aimé Pouly Théâtre;Rue de Carouge 43;1205;Genève;GE;022 320 68 84;www.pouly.ch
;;Aimé Pouly Thônex;Rue de Genève 101;1226;Thônex;GE;022 349 32 51;www.pouly.ch
;;Aiola;Brünigstrasse 158;6060;Sarnen;OW;041 660 15 15;www.aiola.ch
;;Aiola al Porto;Harissenbucht 3;6362;Stansstad;NW;041 610 79 07;www.aiola.ch
;;A-ja Zürich;Vulkanstrasse 108B;8048;Zürich;ZH;043 523 12 14;www.ajaresorts.de/standorte/zuerich/
;;AKAD (ZFV);Effingerstrasse 31;3008;Bern;BE;;zfv.ch/de/betriebe/mensen
;;Akaraka;Badenerstrasse 649;8048;Zürich;ZH;043 538 30 85;www.akaraka.ch
;;Aki Sushi Zug;Baarerstrasse 99;6300;Zug;ZG;041 710 67 60;www.akisushi.ch
;;Akropolis / Hotel Jura;Bruggweg 61;4143;Dornach;SO;061 706 98 00;www.hoteljura.ch
;;Akt;Niederdorfstrasse 64;8001;Zürich;ZH;+41442514133;www.akt-zuerich.ch
;;Al Barilotto;Via Silvio Calloni 18;6900;Lugano;TI;091 960 60 90;www.ristorante-al-barilotto.ch
;;Al Capone;Bahnhofstrasse 32;2502;Biel/Bienne;BE;032 322 97 40;www.pizzeriaalcapone.ch
;;Al Capone;Bohl 1;9000;St. Gallen;SG;+41712234503;www.steakhouse-alcapone.ch
;;Al Cervo;Kirchgasse 33;8427;Rorbas;ZH;+41448650011;www.restaurant-alcervo.ch
;;Al Dente;Thurgauerstrasse 117;8152;Glattbrugg;ZH;+41432113591;www.ristorante-aldente.ch
;;Al Forno;Universitätsstrasse 40;8006;Zürich;ZH;044 251 65 77;
;;Al Forno;Schaffhauserstrasse 87;8180;Bülach;ZH;044 860 46 64;
;;Al Giardinetto;Via A. e M. Pini 21;6710;Biasca;TI;091 862 17 71;www.algiardinetto.ch
;;Al Giardino;Burgfelderstrasse 2;4055;Basel;BS;+41613818022;
;;Al Giardino;Tösstalstrasse 70;8400;Winterthur;ZH;052 232 99 88;www.algiardino.ch
;;Al Mancava;Via Alessandro Volta 3;6830;Chiasso;TI;091 682 31 40;www.almancava.com
;;Al Mouchtar;Theaterstrasse 7;8400;Winterthur;ZH;052 202 96 05;www.almouchtar.com
;;Al Mouchtar;Badenerstrasse 541;8048;Zürich;ZH;052 202 96 05;www.almouchtar.com
;;Al Panino;Nauenstrasse 63a;4052;Basel;BS;061 271 11 26;www.alpanino.ch
;;al parco;Stauffacherstrasse 65;3000;Bern;BE;031 348 57 75;http://alparco.sv-group.ch
;;Al Ponte;Via Cantonale 46;6593;Cadenazzo;TI;091 858 35 54;
;;Al Ponte;Kronenstrasse 4;8134;Adliswil;ZH;+41447090545;www.pizzeria-alponte.ch
;;Al Ponte;Küttigerstrasse 16;5000;Aarau;AG;062 822 31 05;www.pizzeria-al-ponte.ch
;;Al Ponticello;Wiesentalstrasse 8 B;8962;Bergdietikon;AG;043 321 18 61;www.alponticello.ch
;;Al Porto;Via Pessina 3;6900;Lugano;TI;091 910 51 30;www.grand-cafe-lugano.ch
;;al punto;Grubenstrasse 18;8045;Zürich;ZH;044 461 08 82;www.al-punto.ch
;;Al Seda;Werner-Weber-Strasse 11;8630;Rüti ZH;ZH;+41552404853;www.alseda.ch
;;Al Solito Posto;Fabrikstrasse 4;4500;Solothurn;SO;032 621 52 52;www.trattoria-al-solito-posto.ch
;;al taglio Colosseum;Industriestrasse 33;8304;Wallisellen;ZH;044 830 90 91;www.pizza-al-taglio-colosseum.ch
;;Al Volo;Aéroport de Genève, Galerie Marchande Gare CFF, Route de l’Aéroport 25;1216;Genève-Cointrin;GE;022 798 69 84;
;;al Wisent;Dorfstrasse 50;8542;Wiesendangen;ZH;052 337 26 11;
;;Aladin;Aathalstrasse 42;8610;Uster;ZH;+41449418989;www.aladinpizza.ch
;;Al-Andalus;Stadthausgasse 15;8200;Schaffhausen;SH;052 625 60 98;facebook.com/alandalus.sh
;;Albatros;Aumattstrasse 71;4153;Reinach BL;BL;061 755 71 72;
;;Albis;Birrwaldstrasse 1;8135;Langnau am Albis;ZH;+41447133505;
;;Alders;Zürichstrasse 22;8607;Aathal;ZH;043 497 05 70;www.alders-restaurant.ch
;;Alessia;Kriegackerstrasse 100;4132;Muttenz;BL;061 462 40 40;
;;Alexander;Riehenring 83;4058;Basel;BS;061 683 86 86;www.restaurant-alexander-basel.ch
;;Alexanders;Schulhausweg 10;5442;Fislisbach;AG;056 493 01 19;www.confiserie-alexanders.ch
;;Alexion Favorite;Giesshübelstrasse 30;8045;Zürich;ZH;043 333 01 51;www.zfv.ch
;;Alexi's;Niederdorfstrasse 40;8001;Zürich;ZH;+41442523788;www.alexis-bar.ch
;;Alfa;Hauptstrasse 15;4127;Birsfelden;BL;+41613156262;www.hotel-alfa-birsfelden.ch
;;Alfi's Znüni Express;Zürcherstrasse 1;8604;Hegnau-Volketswil;ZH;044 945 04 88;www.alfis-znueni-express.ch
;;Alfredo;Rue de Chantepoulet 6;1201;Genève;GE;022 731 15 55;www.restaurant-alfredo.ch
;;Ali Baba City;Zentralstrasse 14;8953;Dietikon;ZH;+41447400219;
;;Alibaba;Mattengasse 29;8005;Zürich;ZH;043 541 56 36;
;;Alin;Wartstrasse 32;8400;Winterthur;ZH;052 202 33 40;www.restaurant-alin.ch
;;Ali's Kebap Haus;Eschlikonerstrasse 1;9542;Münchwilen;TG;071 960 05 30;www.aliskebaphouse.ch
;;Alive;Rue des Barques 2;1207;Genève;GE;022 735 30 75;www.alive.swiss
;;all you need;Route de l'Aéroport;1215;Genève 15 Aéroport;GE;;www.swisscanonica.ch
;;all you need;Route de l'Aéroport;1215;Genève 15 Aéroport;GE;;www.swisscanonica.com
;;all you need;Route de l'Aéroport;1215;Genève 15 Aéroport;GE;;www.swisscanonica.com
;;all you need;Route de l'Aéroport;1215;Genève 15 Aéroport;GE;;www.swisscanonica.com
;;all you need;Route de l'Aéroport;1215;Genève 15 Aéroport;GE;;www.swisscanonica.com
;;All'Appetito;Bahnhaldenstrasse 3;8180;Bülach;ZH;044 862 08 80;www.bottega-allappetito.ch
;;Allee;Worbstrasse 296;3073;Gümligen;BE;031 950 96 16;www.nussbaumallee.ch
;;Allegra;Hamelirainstrasse 3;8302;Kloten;ZH;044 804 44 44;
;;Allegro;Mutschellenstrasse 137;8038;Zürich;ZH;044 482 99 55;www.restaurantallegro.ch
;;Alltag;Unterer Graben 25;8400;Winterthur;ZH;052 202 85 42;www.alltag-cafebar.ch
;;Almodobar;Bleicherweg 68;8002;Zürich;ZH;043 844 44 88;www.almodobar.com
;;Almodobar;Stadtturmstrasse 19;5400;Baden;AG;056 221 83 83;www.almodobar.com
;;Alpenblick;Gates E,Geschoss 2,Ost (E22-E37);8060;Zürich-Flughafen;ZH;;
;;Alpenblick;St. Gallerstrasse 112;9320;Arbon;TG;+41714461385;
;;Alpenblick;Ringwilerstrasse 32;8340;Hinwil;ZH;+41449373261;www.alpenblick-hinwil.ch
;;Alpenblick;Hotel Alpenblick 414;7050;Arosa;GR;081 377 14 28;
;;Alpenrose;Fabrikstrasse 12;8005;Zürich;ZH;044 431 11 66;www.restaurantalpenrose.ch
;;Alpenrösli;Schulstrasse 25;5436;Würenlos;AG;+41564242119;www.alpenroesliwuerenlos.ch
;;Alpha;Gwattstrasse 4;3604;Thun;BE;033 223 73 47;www.alpha-thun.ch
;;Alpha;Rue du Simplon 13;1700;Fribourg;FR;026 322 72 72;www.alphabet-restaurant.ch
;;Alpina Bettmeralp;Hauptstrasse;3992;Bettmeralp;VS;027 927 12 08;www.alpina-bettmeralp.ch
;;Altane;Hauptstrasse 64;4107;Ettingen;BL;061 721 14 41;www.altane.ch
;;Alte Kaserne;Technikumstrasse 8;8402;Winterthur;ZH;052 267 57 75;www.altekaserne.ch
;;Alte Krone;Goethestrasse 12;8712;Stäfa;ZH;044 926 40 10;www.altekrone.ch
;;Alte Mühle;Müliweg 3;8545;Rickenbach ZH;ZH;+41523371751;
;;Alte Post;Centralbahnstrasse 21;4051;Basel;BS;061 271 47 43;www.altepostrestaurant.ch
;;Alte Post;Zürcherstrasse 21;8115;Hüttikon;ZH;+41448442084;www.restaurant-altepost.ch
;;Alte Sonne;Alte Landstrasse 57;8706;Meilen;ZH;043 539 57 28;www.altesonne.ch
;;Alten Eiche;Sägastrasse 29;9495;Triesen;;+4233922686;www.alteeiche.li
;;Alten Löwen;Universitätstrasse 111;8006;Zürich;ZH;+41433431169;www.altenloewen.ch
;;Altenbach Restaurant & Bar;Städtle 3;9490;Vaduz;0;+423 232 84 84;www.altenbach.li
;;Alter Emmersberg;Bürgerstrasse 49;8200;Schaffhausen;SH;+41525330304;www.restaurantemmersberg.ch
;;Alter Hirschen;Neuhus;8816;Hirzel;ZH;+41447299141;
;;Alter Tobelhof;Tobelhofstrasse 236;8044;Zürich;ZH;044 251 11 93;www.tobelhof.ch
;;Alter Zoll;Elsässerstrasse 127;4056;Basel;BS;061 322 46 22;www.alterzoll.ch
;;Alterszentrum Bullinger-Hardau;Bullingerstrasse 69;8004;Zürich;ZH;044 414 15 15;
;;Alterszentrum Buttenau;Erlenstrasse 10;8134;Adliswil;ZH;044 712 82 00;
;;Alterszentrum Doldertal;Ebelstrasse 29;8032;Zürich;ZH;044 265 30 20;
;;Alterszentrum Kalchbühl;Kalchbühlstrasse 118;8038;Zürich;ZH;044 485 51 00;
;;Alterszentrum Laubegg;Hegianwandweg 16;8045;Zürich;ZH;044 414 05 05;
;;Alterszentrum Mathysweg;Altstetterstrasse 267;8047;Zürich;ZH;044 435 88 00;
;;Alterszentrum Mittelleimbach;Leimbachstrasse 210;8041;Zürich;ZH;044 487 88 00;
;;Alterszentrum Oberstrass;Langensteinenstrasse 40;8057;Zürich;ZH;044 414 17 17;
;;Alterszentrum Rebwies;Schützenstrasse 31;8702;Zollikon;ZH;044 396 46 96;
;;Alterszentrum Rosengarten;Aathalstrasse 21;8610;Uster;ZH;044 414 01 01;
;;Alterszentrum Selnau;Selnaustrasse 18;8001;Zürich;ZH;044 283 27 47;
;;Alterszentrum Sonnenhof;Lerchenbergstrasse 35;8703;Erlenbach ZH;ZH;044 913 68 68;
;;Alterszentrum Trotte;Trottenstrasse 76;8037;Zürich;ZH;044 276 40 80;
;;Alterszentrum Wildbach;Wildbachstrasse 11;8008;Zürich;ZH;+41443899300;www.stadt-zuerich.ch/alterszentren
;;Alterzentrum Waldfrieden;Waldfriedenstrasse 21;8330;Pfäffikon ZH;ZH;044 414 00 14;
;;Altes Gerichtshaus;Wehntalerstrasse 47;8157;Dielsdorf;ZH;+41448530343;www.altesgerichtshaus.ch
;;Altes Klösterli;Klosterweg 36;8044;Zürich;ZH;+41442542640;
;;Alti Poscht;General-Wille-Strasse 193;8706;Meilen;ZH;044 923 40 69;www.restaurant-altiposcht.ch
;;Alto;Route de Genève 1554;1226;Thônex;GE;;
;;Altstadt;Marktgasse 15;8640;Rapperswil SG;SG;+41552119585;
;;Altstetten;Altstetterstrasse 130;8048;Zürich;ZH;044 431 84 60;
;;"Alumni quattro ""HIL""";Stefano-Franscini-Platz 5, ETH Zürich, Hönggerberg;8093;Zürich ETH-Hönggerberg;ZH;044 633 72 12;www.alumnilounge.ch
;;Amadeus;Bahnhofstrasse 6;8952;Schlieren;ZH;044 730 23 00;
;;Amalfi;Mainaustrasse 23;8008;Zürich;ZH;+41434979686;
;;Amani's Afghan-Food;Markthalle / Steinentorberg 20;4051;Basel;BS;076 496 64 50;www.amanis.ch
;;Amann;Aeulestrasse 56;9490;Vaduz;;+4232323411;www.amann-ag.li
;;Amano;Muhenstrasse 7;5036;Oberentfelden;AG;062 777 11 88;www.trattoria-amano.ch
